t,mag
30095.238,0.980
30095.258,0.910
30095.278,1.118
30095.298,0.945
30095.318,1.044
30095.338,1.012
30095.358,0.999
30095.378,0.975
30095.398,1.127
30095.418,1.077
30095.438,0.999
30095.458,0.927
30095.478,1.048
30095.498,1.131
30095.518,0.874
30095.538,1.080
30095.558,0.975
30095.578,0.892
30095.598,1.044
30095.618,0.990
30095.638,1.001
30095.658,0.988
30095.678,1.021
30095.698,0.993
30095.718,1.007
30095.738,1.039
30095.758,0.999
30095.778,1.020
30095.798,0.983
30095.818,0.964
30095.838,1.071
30095.858,0.982
30095.878,0.997
30095.898,1.001
30095.918,1.012
30095.938,1.000
30095.958,0.996
30095.978,1.015
30095.998,1.000
30096.018,1.005
30096.038,0.999
30096.058,1.001
30096.078,1.005
30096.098,1.004
30096.118,1.003
30096.138,1.011
30096.158,0.997
30096.178,0.995
30096.198,0.972
30096.218,1.128
30096.238,1.060
30096.258,0.967
30096.278,1.021
30096.298,1.011
30096.318,1.075
30096.338,1.012
30096.358,0.932
30096.378,1.001
30096.398,1.039
30096.418,0.996
30096.438,1.010
30096.458,0.988
30096.478,0.963
30096.498,1.026
30096.518,1.152
30096.538,0.871
30096.558,0.950
30096.578,1.025
30096.598,1.048
30096.618,0.969
30096.638,0.987
30096.658,1.040
30096.678,0.970
30096.698,1.015
30096.718,0.898
30096.738,1.040
30096.758,0.976
30096.778,0.988
30096.798,0.970
30096.818,1.015
30096.838,1.003
30096.858,1.005
30096.878,0.958
30096.898,0.976
30096.918,1.146
30096.938,0.984
30096.958,0.980
30096.978,1.001
30096.998,1.021
30097.018,0.993
30097.038,0.999
30097.058,1.001
30097.078,1.008
30097.098,1.044
30097.118,1.049
30097.138,0.972
30097.158,1.025
30097.178,0.991
30097.198,0.995
30097.218,0.995
30097.238,1.004
30097.258,1.004
30097.278,1.003
30097.298,0.974
30097.318,1.052
30097.338,0.922
30097.358,0.947
30097.378,0.953
30097.398,1.016
30097.418,0.988
30097.438,0.987
30097.458,1.008
30097.478,1.007
30097.498,0.935
30097.518,1.058
30097.538,1.031
30097.558,1.021
30097.578,0.898
30097.598,1.030
30097.618,1.033
30097.638,0.988
30097.658,0.967
30097.678,1.093
30097.698,1.158
30097.718,0.882
30097.738,1.058
30097.758,1.052
30097.778,1.039
30097.798,0.911
30097.818,1.002
30097.838,1.034
30097.858,1.074
30097.878,0.931
30097.898,1.043
30097.918,0.996
30097.938,1.042
30097.958,0.947
30097.978,1.089
30097.998,0.925
30098.018,1.041
30098.038,1.046
30098.058,0.964
30098.078,1.003
30098.098,1.006
30098.118,0.973
30098.138,1.082
30098.158,0.987
30098.178,0.985
30098.198,1.015
30098.218,0.987
30098.238,1.006
30098.258,0.996
30098.278,1.006
30098.298,1.015
30098.318,1.042
30098.338,0.939
30098.358,1.041
30098.378,0.941
30098.398,1.025
30098.418,1.022
30098.438,1.025
30098.458,1.019
30098.478,1.050
30098.498,0.984
30098.518,0.995
30098.538,1.013
30098.558,1.009
30098.578,1.002
30098.598,1.010
30098.618,1.004
30098.638,1.002
30098.658,1.007
30098.678,1.001
30098.698,0.975
30098.718,1.008
30098.738,0.969
30098.758,0.967
30098.778,1.011
30098.798,0.994
30098.818,0.999
30098.838,0.981
30098.858,1.053
30098.878,0.976
30098.898,0.943
30098.918,0.963
30098.938,1.037
30098.958,1.003
30098.978,1.004
30098.998,1.000
30099.018,1.005
30099.038,1.003
30099.058,1.002
30099.078,1.000
30099.098,0.959
30099.118,1.017
30099.138,1.017
30099.158,1.010
30099.178,0.992
30099.198,1.008
30099.218,1.007
30099.238,1.007
30099.258,1.002
30099.278,0.995
30099.298,1.069
30099.318,1.118
30099.338,0.944
30099.358,1.020
30099.378,0.996
30099.398,1.011
30099.418,1.017
30099.438,0.941
30099.458,1.038
30099.478,0.991
30099.498,0.868
30099.518,1.125
30099.538,1.059
30099.558,0.961
30099.578,0.977
30099.598,1.013
30099.618,1.011
30099.638,1.000
30099.658,0.997
30099.678,0.998
30099.698,0.977
30099.718,1.088
30099.738,1.011
30099.758,1.036
30099.778,0.982
30099.798,1.008
30099.818,0.959
30099.838,0.958
30099.858,1.116
30099.878,0.985
30099.898,1.058
30099.918,0.952
30099.938,1.030
30099.958,0.925
30099.978,0.941
30099.998,1.027
30100.018,0.998
30100.038,1.018
30100.058,1.025
30100.078,0.974
30100.098,0.998
30100.118,1.016
30100.138,0.896
30100.158,1.006
30100.178,1.039
30100.198,1.014
30100.218,1.045
30100.238,0.975
30100.258,1.027
30100.278,1.031
30100.298,0.995
30100.318,0.972
30100.338,1.038
30100.358,0.966
30100.378,0.995
30100.398,1.011
30100.418,1.001
30100.438,0.915
30100.458,1.156
30100.478,0.922
30100.498,1.118
30100.518,0.963
30100.538,0.882
30100.558,1.160
30100.578,0.872
30100.598,1.091
30100.618,1.073
30100.638,0.968
30100.658,0.996
30100.678,1.064
30100.698,1.070
30100.718,0.960
30100.738,1.035
30100.758,0.994
30100.778,1.024
30100.798,0.971
30100.818,0.983
30100.838,0.986
30100.858,0.999
30100.878,1.054
30100.898,0.791
30100.918,1.140
30100.938,1.067
30100.958,0.970
30100.978,0.994
30100.998,1.010
30101.016,0.988
30101.036,0.906
30101.056,1.041
30101.076,1.003
30101.096,1.002
30101.116,1.019
30101.136,1.030
30101.156,0.988
30101.176,1.018
30101.196,0.979
30101.216,1.013
30101.236,1.021
30101.256,0.989
30101.276,0.995
30101.296,1.009
30101.316,1.002
30101.336,0.997
30101.356,1.003
30101.376,1.002
30101.396,1.003
30101.416,1.003
30101.436,1.001
30101.456,1.007
30101.476,1.003
30101.496,1.004
30101.516,1.004
30101.536,1.003
30101.556,1.002
30101.576,1.004
30101.596,1.002
30101.616,1.003
30101.636,1.002
30101.656,1.003
30101.676,1.001
30101.696,1.002
30101.716,1.004
30101.736,1.002
30101.756,1.003
30101.776,1.002
30101.796,1.002
30101.816,1.004
30101.836,1.001
30101.856,1.000
30101.876,1.013
30101.896,0.985
30101.916,0.935
30101.936,0.906
30101.956,1.091
30101.976,0.943
30101.996,1.038
30102.018,1.014
30102.038,1.004
30102.058,1.003
30102.078,1.006
30102.098,1.051
30102.118,0.977
30102.138,0.951
30102.158,0.998
30102.178,0.989
30102.198,1.023
30102.218,0.994
30102.238,1.002
30102.258,1.002
30102.278,1.008
30102.298,1.001
30102.318,0.971
30102.338,1.039
30102.358,0.958
30102.378,1.038
30102.398,0.958
30102.418,0.987
30102.438,1.010
30102.458,1.075
30102.478,0.996
30102.498,0.991
30102.518,1.011
30102.538,0.995
30102.558,0.999
30102.578,0.933
30102.598,1.046
30102.618,1.121
30102.638,0.815
30102.658,0.913
30102.678,1.071
30102.698,0.992
30102.718,0.985
30102.738,0.984
30102.758,1.048
30102.778,0.892
30102.798,1.027
30102.818,1.047
30102.838,0.979
30102.858,1.006
30102.878,1.021
30102.898,1.066
30102.918,0.904
30102.938,1.171
30102.958,0.915
30102.978,1.042
30102.998,1.011
30103.018,1.055
30103.038,0.887
30103.058,1.035
30103.078,0.967
30103.098,1.034
30103.118,0.971
30103.138,1.104
30103.158,1.062
30103.178,0.972
30103.198,1.051
30103.218,0.936
30103.238,0.942
30103.258,1.035
30103.278,0.978
30103.298,1.020
30103.318,0.999
30103.338,0.968
30103.358,0.951
30103.378,1.075
30103.398,1.015
30103.418,1.026
30103.438,1.000
30103.458,1.012
30103.478,0.959
30103.498,1.116
30103.518,0.913
30103.538,1.053
30103.558,1.014
30103.578,0.998
30103.598,1.004
30103.618,0.977
30103.638,0.960
30103.658,1.067
30103.678,0.800
30103.698,1.134
30103.718,1.035
30103.738,0.983
30103.758,1.047
30103.778,1.078
30103.798,1.105
30103.818,0.881
30103.838,1.068
30103.858,0.895
30103.878,0.947
30103.898,1.044
30103.918,0.976
30103.938,1.013
30103.958,1.005
30103.978,1.033
30103.998,0.911
30104.018,1.097
30104.038,1.052
30104.058,0.930
30104.078,1.048
30104.098,0.980
30104.118,0.989
30104.138,1.002
30104.158,1.002
30104.178,0.955
30104.198,0.853
30104.218,1.222
30104.238,0.884
30104.258,1.104
30104.278,1.092
30104.298,0.926
30104.318,1.007
30104.338,1.001
30104.358,1.023
30104.378,1.000
30104.398,1.011
30104.418,0.994
30104.438,1.005
30104.458,0.989
30104.478,1.082
30104.498,0.769
30104.518,0.988
30104.538,1.053
30104.558,1.022
30104.578,0.989
30104.598,1.006
30104.618,1.034
30104.638,1.000
30104.658,0.945
30104.678,1.021
30104.698,1.022
30104.718,1.007
30104.738,0.988
30104.758,0.967
30104.778,0.975
30104.798,1.064
30104.818,0.973
30104.838,1.044
30104.858,0.997
30104.878,1.033
30104.898,0.982
30104.918,1.045
30104.938,1.177
30104.958,0.934
30104.978,1.057
30104.998,0.979
30105.018,1.008
30105.038,0.915
30105.058,0.996
30105.078,1.052
30105.098,0.944
30105.118,0.883
30105.138,1.070
30105.158,0.985
30105.178,1.008
30105.198,0.973
30105.218,1.096
30105.238,0.956
30105.258,1.001
30105.278,0.893
30105.298,1.042
30105.318,1.004
30105.338,0.978
30105.358,1.008
30105.378,1.003
30105.398,1.001
30105.418,0.991
30105.438,1.010
30105.458,1.017
30105.478,1.026
30105.498,0.997
30105.518,0.998
30105.538,1.010
30105.558,1.008
30105.578,1.001
30105.598,0.966
30105.618,1.018
30105.638,1.014
30105.658,0.983
30105.678,0.995
30105.698,1.004
30105.718,1.006
30105.738,0.995
30105.758,0.994
30105.778,1.005
30105.798,1.006
30105.818,1.003
30105.838,1.000
30105.858,1.004
30105.878,1.012
30105.898,1.000
30105.918,1.002
30105.938,1.003
30105.958,1.002
30105.978,1.004
30105.998,1.004
30106.018,1.005
30106.038,1.003
30106.058,1.002
30106.078,1.004
30106.098,1.003
30106.118,1.003
30106.138,1.003
30106.158,1.003
30106.178,1.006
30106.198,1.001
30106.218,1.002
30106.238,1.002
30106.258,1.001
30106.278,1.005
30106.298,1.005
30106.318,0.901
30106.338,1.434
30106.358,0.987
30106.378,0.962
30106.398,1.336
30106.418,2.336
30106.438,1.064
30106.458,1.048
30106.478,0.945
30106.498,0.890
30106.518,0.954
30106.538,1.053
30106.558,0.985
30106.578,0.883
30106.598,1.026
30106.618,1.097
30106.638,0.652
30106.658,0.733
30106.678,1.040
30106.698,1.007
30106.718,0.975
30106.738,0.976
30106.758,1.014
30106.778,1.007
30106.798,1.002
30106.818,1.009
30106.838,0.982
30106.858,1.017
30106.878,1.044
30106.898,1.025
30106.918,1.036
30106.938,1.007
30106.958,0.991
30106.978,1.032
30106.998,1.037
30107.018,1.090
30107.038,1.031
30107.058,0.992
30107.078,1.075
30107.098,1.106
30107.118,0.929
30107.138,0.963
30107.158,1.034
30107.178,1.080
30107.198,1.101
30107.218,0.996
30107.238,1.000
30107.258,1.031
30107.278,0.997
30107.298,1.016
30107.318,1.016
30107.338,1.016
30107.358,0.990
30107.378,1.012
30107.398,1.007
30107.418,1.002
30107.438,0.997
30107.458,0.985
30107.478,1.004
30107.498,1.019
30107.518,1.003
30107.538,1.012
30107.558,1.001
30107.578,1.002
30107.598,1.005
30107.618,0.997
30107.638,1.005
30107.658,1.007
30107.678,1.019
30107.698,1.015
30107.718,1.013
30107.738,0.969
30107.758,0.989
30107.778,1.002
30107.798,2.360
30107.818,0.752
30107.838,0.997
30107.858,1.313
30107.878,1.072
30107.898,0.971
30107.918,0.957
30107.938,1.017
30107.958,1.016
30107.978,0.964
30107.998,1.026
30108.016,1.039
30108.036,0.864
30108.056,1.048
30108.076,0.239
30108.096,3.086
30108.116,0.662
30108.136,1.054
30108.156,0.968
30108.176,1.008
30108.196,1.003
30108.216,1.003
30108.236,0.999
30108.256,1.042
30108.276,0.994
30108.296,1.316
30108.316,0.993
30108.336,0.988
30108.356,1.004
30108.376,1.003
30108.396,1.005
30108.416,1.004
30108.436,1.000
30108.456,1.006
30108.476,1.006
30108.496,1.005
30108.516,1.006
30108.536,1.005
30108.556,1.005
30108.576,1.004
30108.596,1.004
30108.616,1.007
30108.636,1.004
30108.656,1.005
30108.676,0.948
30108.696,0.896
30108.716,1.012
30108.736,0.995
30108.756,1.005
30108.776,1.004
30108.796,1.005
30108.816,1.197
30108.836,0.975
30108.856,1.038
30108.876,1.206
30108.896,1.126
30108.916,1.098
30108.936,1.296
30108.956,1.074
30108.976,0.989
30108.996,1.442
30109.018,0.983
30109.038,1.054
30109.058,1.190
30109.078,0.777
30109.098,0.933
30109.118,0.933
30109.138,1.171
30109.158,1.011
30109.178,0.967
30109.198,1.180
30109.218,0.881
30109.238,1.111
30109.258,1.299
30109.278,1.042
30109.298,1.090
30109.318,1.028
30109.338,1.013
30109.358,0.991
30109.378,1.363
30109.398,1.307
30109.418,0.651
30109.438,1.094
30109.458,1.148
30109.478,0.955
30109.498,1.059
30109.518,1.044
30109.538,1.110
30109.558,1.077
30109.578,0.924
30109.598,1.307
30109.618,1.168
30109.638,1.102
30109.658,0.771
30109.678,1.054
30109.698,1.091
30109.718,1.047
30109.738,0.984
30109.758,0.853
30109.778,1.089
30109.798,1.033
30109.818,0.953
30109.838,0.925
30109.858,1.056
30109.878,1.030
30109.898,1.031
30109.918,0.897
30109.938,1.010
30109.958,1.058
30109.978,1.087
30109.998,1.026
30110.018,0.981
30110.038,1.247
30110.058,1.054
30110.078,1.012
30110.098,0.783
30110.118,1.007
30110.138,1.130
30110.158,1.061
30110.178,1.064
30110.198,1.020
30110.218,1.550
30110.238,1.131
30110.258,1.191
30110.278,1.078
30110.298,0.997
30110.318,1.077
30110.338,1.072
30110.358,0.901
30110.378,1.004
30110.398,0.562
30110.418,0.954
30110.438,0.994
30110.458,1.028
30110.478,1.128
30110.498,1.068
30110.518,1.125
30110.538,1.338
30110.558,0.740
30110.578,1.043
30110.598,1.491
30110.618,1.302
30110.638,1.149
30110.658,1.014
30110.678,0.814
30110.698,0.822
30110.718,0.846
30110.738,1.303
30110.758,1.481
30110.778,0.952
30110.798,0.720
30110.818,0.879
30110.838,1.047
30110.858,1.273
30110.878,1.106
30110.898,0.929
30110.918,0.795
30110.938,0.994
30110.958,0.915
30110.978,0.983
30110.998,1.031
30111.018,1.371
30111.038,0.881
30111.058,0.774
30111.078,0.818
30111.098,1.062
30111.118,1.129
30111.138,1.153
30111.158,0.850
30111.178,0.944
30111.198,1.015
30111.218,0.989
30111.238,1.045
30111.258,1.097
30111.278,1.110
30111.298,1.060
30111.318,0.863
30111.338,0.875
30111.358,0.971
30111.378,0.852
30111.398,0.988
30111.418,1.011
30111.438,1.240
30111.458,1.105
30111.478,0.984
30111.498,0.958
30111.518,0.937
30111.538,0.921
30111.558,0.970
30111.578,0.923
30111.598,1.017
30111.618,1.171
30111.638,1.260
30111.658,1.058
30111.678,0.925
30111.698,0.967
30111.718,1.014
30111.738,1.040
30111.758,0.968
30111.778,0.967
30111.798,0.886
30111.818,0.816
30111.838,1.199
30111.858,1.051
30111.878,1.073
30111.898,1.093
30111.918,1.013
30111.938,1.028
30111.958,0.982
30111.978,1.050
30111.998,0.949
30112.018,0.978
30112.038,1.026
30112.058,0.822
30112.078,0.971
30112.098,0.943
30112.118,1.000
30112.138,1.211
30112.158,1.169
30112.178,1.034
30112.198,1.332
30112.218,1.125
30112.238,1.086
30112.258,0.798
30112.278,0.872
30112.298,0.995
30112.318,0.976
30112.338,1.142
30112.358,1.051
30112.378,1.000
30112.398,0.919
30112.418,0.998
30112.438,0.907
30112.458,0.893
30112.478,0.989
30112.498,1.029
30112.518,0.941
30112.538,0.955
30112.558,1.145
30112.578,1.031
30112.598,0.905
30112.618,0.880
30112.638,1.195
30112.658,1.098
30112.678,1.004
30112.698,1.013
30112.718,1.073
30112.738,0.908
30112.758,0.975
30112.778,1.054
30112.798,1.870
30112.818,0.979
30112.838,1.107
30112.858,0.972
30112.878,1.040
30112.898,0.830
30112.918,0.759
30112.938,1.140
30112.958,1.000
30112.978,0.713
30112.998,1.003
30113.018,0.966
30113.038,1.070
30113.058,0.990
30113.078,1.045
30113.098,0.943
30113.118,0.860
30113.138,0.927
30113.158,0.993
30113.178,1.110
30113.198,1.034
30113.218,0.918
30113.238,1.130
30113.258,1.348
30113.278,1.066
30113.298,0.904
30113.318,0.905
30113.338,0.962
30113.358,1.930
30113.378,0.919
30113.398,0.972
30113.418,1.075
30113.438,1.010
30113.458,1.024
30113.478,0.789
30113.498,1.192
30113.518,0.925
30113.538,1.032
30113.558,1.056
30113.578,1.001
30113.598,1.188
30113.618,1.197
30113.638,1.000
30113.658,1.277
30113.678,1.050
30113.698,0.772
30113.718,1.075
30113.738,0.904
30113.758,0.952
30113.778,0.928
30113.798,1.114
30113.818,1.073
30113.838,2.497
30113.858,1.358
30113.878,0.989
30113.898,1.090
30113.918,1.173
30113.938,1.086
30113.958,0.917
30113.978,1.086
30113.998,0.865
30114.018,0.891
30114.038,1.010
30114.058,0.908
30114.078,1.210
30114.098,1.258
30114.118,1.183
30114.138,0.924
30114.158,1.028
30114.178,1.296
30114.198,1.223
30114.218,1.310
30114.238,0.995
30114.258,1.050
30114.278,1.130
30114.298,2.678
30114.318,1.568
30114.338,0.909
30114.358,0.834
30114.378,0.880
30114.398,0.953
30114.418,0.938
30114.438,1.118
30114.458,1.153
30114.478,1.145
30114.498,0.768
30114.518,1.009
30114.538,1.076
30114.558,1.074
30114.578,0.930
30114.598,0.954
30114.618,1.004
30114.638,1.042
30114.658,1.213
30114.678,1.291
30114.698,1.051
30114.718,0.965
30114.738,0.869
30114.758,1.043
30114.778,0.984
30114.798,1.086
30114.818,1.113
30114.838,0.821
30114.858,0.831
30114.878,0.908
30114.898,1.164
30114.918,1.082
30114.938,0.909
30114.958,0.984
30114.978,0.968
30114.998,1.027
30115.018,0.959
30115.038,1.022
30115.058,1.004
30115.078,1.070
30115.098,1.201
30115.118,0.902
30115.138,0.863
30115.158,1.005
30115.178,1.081
30115.198,1.075
30115.218,0.971
30115.238,0.983
30115.258,0.918
30115.278,1.110
30115.298,1.062
30115.318,1.016
30115.338,1.099
30115.358,1.014
30115.378,0.735
30115.398,0.783
30115.418,1.184
30115.438,1.167
30115.458,0.998
30115.478,0.906
30115.498,1.065
30115.518,0.911
30115.538,1.113
30115.558,0.634
30115.578,1.197
30115.598,1.034
30115.618,1.145
30115.638,0.807
30115.658,1.062
30115.678,1.213
30115.698,1.140
30115.718,1.188
30115.738,1.067
30115.758,0.796
30115.778,1.015
30115.798,1.280
30115.818,1.496
30115.838,1.077
30115.858,0.739
30115.878,0.992
30115.898,0.770
30115.918,1.035
30115.938,1.104
30115.958,1.250
30115.978,0.998
30115.998,0.994
30116.018,0.967
30116.038,1.159
30116.058,1.221
30116.078,0.951
30116.098,1.273
30116.118,1.189
30116.138,1.142
30116.158,0.862
30116.178,0.761
30116.198,1.190
30116.218,1.031
30116.238,1.230
30116.258,0.990
30116.278,1.157
30116.298,1.132
30116.318,1.141
30116.338,0.782
30116.358,0.858
30116.378,0.832
30116.398,1.022
30116.418,1.290
30116.438,1.087
30116.458,1.311
30116.478,1.533
30116.498,0.594
30116.518,0.767
30116.538,1.119
30116.558,0.880
30116.578,1.130
30116.598,1.047
30116.618,1.086
30116.638,1.056
30116.658,0.844
30116.678,1.003
30116.698,0.940
30116.718,0.917
30116.738,0.793
30116.758,1.190
30116.778,1.074
30116.798,0.936
30116.818,0.955
30116.838,0.962
30116.858,1.056
30116.878,1.148
30116.898,1.157
30116.918,1.174
30116.938,1.345
30116.958,1.040
30116.978,0.878
30116.998,0.740
30117.018,0.896
30117.038,0.790
30117.058,0.941
30117.078,1.091
30117.098,1.314
30117.118,1.148
30117.138,1.041
30117.158,0.856
30117.178,1.041
30117.198,1.227
30117.218,0.929
30117.238,0.958
30117.258,0.837
30117.278,0.903
30117.298,0.703
30117.318,0.593
30117.338,0.813
30117.358,0.904
30117.378,1.254
30117.398,1.282
30117.418,1.351
30117.438,0.468
30117.458,0.388
30117.478,0.456
30117.498,0.785
30117.518,1.995
30117.538,0.966
30117.558,0.696
30117.578,1.114
30117.598,1.138
30117.618,1.080
30117.638,1.519
30117.658,1.338
30117.678,1.395
30117.698,1.470
30117.718,1.664
30117.738,2.482
30117.758,2.057
30117.778,2.388
30117.798,2.850
30117.818,2.918
30117.838,2.888
30117.858,3.119
30117.878,3.496
30117.898,3.492
30117.918,3.365
30117.938,3.330
30117.958,3.174
30117.978,2.829
30117.998,2.336
30118.018,0.404
30118.038,0.165
30118.058,0.067
30118.078,0.072
30118.098,0.080
30118.118,0.075
30118.138,0.064
30118.158,0.059
30118.178,0.054
30118.198,0.056
30118.218,0.053
30118.238,0.054
30118.258,0.052
30118.278,0.056
30118.298,0.055
30118.318,0.056
30118.338,0.056
30118.358,0.058
30118.378,0.060
30118.398,0.059
30118.418,0.061
30118.438,0.062
30118.458,0.062
30118.478,0.062
30118.498,0.061
30118.518,0.061
30118.538,0.060
30118.558,0.060
30118.578,0.059
30118.598,0.057
30118.618,0.058
30118.638,0.057
30118.658,0.060
30118.678,0.059
30118.698,0.060
30118.718,0.060
30118.738,0.061
30118.758,0.063
30118.778,0.065
30118.798,0.067
30118.818,0.064
30118.838,0.062
30118.858,0.059
30118.878,0.049
30118.898,0.045
30118.918,14.390
30118.938,2.700
30118.958,1.460
30118.978,2.352
30118.998,3.336
30119.018,0.762
30119.038,0.967
30119.058,1.134
30119.078,1.254
30119.098,1.599
30119.118,1.545
30119.138,1.375
30119.158,1.333
30119.178,1.500
30119.198,1.741
30119.218,1.599
30119.238,1.492
30119.258,1.200
30119.278,1.028
30119.298,1.019
30119.318,0.983
30119.338,0.980
30119.358,0.851
30119.378,0.829
30119.398,0.852
30119.418,0.842
30119.438,0.987
30119.458,0.930
30119.478,0.946
30119.498,0.926
30119.518,0.887
30119.538,0.890
30119.558,0.910
30119.578,0.974
30119.598,0.961
30119.618,0.932
30119.638,0.916
30119.658,0.912
30119.678,0.923
