t_s,mag,gyro_dps
0.41,1.0,25.0
0.415,1.0,25.0
0.42,1.0,25.0
0.425,1.0,25.0
0.43,1.0,25.0
0.435,1.0,25.0
0.44,1.0,25.0
0.445,1.0,25.0
0.45,1.0,25.0
0.455,1.0,25.0
0.46,1.0,25.0
0.465,1.0,25.0
0.47,1.0,25.0
0.475,1.0,25.0
0.48,1.0,25.0
0.485,1.0,25.0
0.49,1.0,25.0
0.495,1.0,25.0
0.5,1.0,25.0
0.505,1.0,25.0
0.51,1.0,25.0
0.515,1.0,25.0
0.52,1.0,25.0
0.525,1.0,25.0
0.53,1.0,25.0
0.535,1.0,25.0
0.54,1.0,25.0
0.545,1.0,25.0
0.55,1.0,25.0
0.555,1.0,25.0
0.56,1.0,25.0
0.565,1.0,25.0
0.57,1.0,25.0
0.575,1.0,25.0
0.58,1.0,25.0
0.585,1.0,25.0
0.59,1.0,25.0
0.595,1.0,25.0
0.6,1.0,25.0
0.605,1.0,25.0
0.61,1.0,25.0
0.615,1.0,25.0
0.62,1.0,25.0
0.625,1.0,25.0
0.63,1.0,25.0
0.635,1.0,25.0
0.64,1.0,25.0
0.645,1.0,25.0
0.65,1.0,25.0
0.655,1.0,25.0
0.66,1.0,25.0
0.665,1.0,25.0
0.67,1.0,25.0
0.675,1.0,25.0
0.68,1.0,25.0
0.685,1.0,25.0
0.69,1.0,25.0
0.695,1.0,25.0
0.7,1.0,25.0
0.705,1.0,25.0
0.71,1.0,25.0
0.715,1.0,25.0
0.72,1.0,25.0
0.725,1.0,25.0
0.73,1.0,25.0
0.735,1.0,25.0
0.74,1.0,25.0
0.745,1.0,25.0
0.75,1.0,25.0
0.755,1.0,25.0
0.76,1.0,25.0
0.765,1.0,25.0
0.77,1.0,25.0
0.775,1.0,25.0
0.78,1.0,25.0
0.785,1.0,25.0
0.79,1.0,25.0
0.795,1.0,25.0
0.8,1.0,25.0
0.805,1.0,25.0
0.81,1.0,25.0
0.815,1.0,25.0
0.82,1.0,25.0
0.825,1.0,25.0
0.83,1.0,25.0
0.835,1.0,25.0
0.84,1.0,25.0
0.845,1.0,25.0
0.85,1.0,25.0
0.855,1.0,25.0
0.86,1.0,25.0
0.865,1.0,25.0
0.87,1.0,25.0
0.875,1.0,25.0
0.88,1.0,25.0
0.885,1.0,25.0
0.89,1.0,25.0
0.895,1.0,25.0
0.9,1.0,25.0
0.905,1.0,25.0
0.91,1.0,25.0
0.915,1.0,25.0
0.92,1.0,25.0
0.925,1.0,25.0
0.93,1.0,25.0
0.935,1.0,25.0
0.94,1.0,25.0
0.945,1.0,25.0
0.95,1.0,25.0
0.955,1.0,25.0
0.96,1.0,25.0
0.965,1.0,25.0
0.97,1.0,25.0
0.975,1.0,25.0
0.98,1.0,25.0
0.985,1.0,25.0
0.99,1.0,25.0
0.995,1.0,25.0
1.0,1.0,25.0
1.005,1.0,25.0
1.01,1.0,25.0
1.015,1.0,25.0
1.02,1.0,25.0
1.025,1.0,25.0
1.03,1.0,25.0
1.035,1.0,25.0
1.04,1.0,25.0
1.045,1.0,25.0
1.05,1.0,25.0
1.055,1.0,25.0
1.06,1.0,25.0
1.065,1.0,25.0
1.07,1.0,25.0
1.075,1.0,25.0
1.08,1.0,25.0
1.085,1.0,25.0
1.09,1.0,25.0
1.095,1.0,25.0
1.1,1.0,25.0
1.105,1.0,25.0
1.11,1.0,25.0
1.115,1.0,25.0
1.12,1.0,25.0
1.125,1.0,25.0
1.13,1.0,25.0
1.135,1.0,25.0
1.14,1.0,25.0
1.145,1.0,25.0
1.15,1.0,25.0
1.155,1.0,25.0
1.16,1.0,25.0
1.165,1.0,25.0
1.17,1.0,25.0
1.175,1.0,25.0
1.18,1.0,25.0
1.185,1.0,25.0
1.19,1.0,25.0
1.195,1.0,25.0
1.2,1.0,25.0
1.205,1.0,25.0
1.21,1.0,25.0
1.215,1.0,25.0
1.22,1.0,25.0
1.225,1.0,25.0
1.23,1.0,25.0
1.235,1.0,25.0
1.24,1.0,25.0
1.245,1.0,25.0
1.25,1.0,25.0
1.255,1.0,25.0
1.26,1.0,25.0
1.265,1.0,25.0
1.27,1.0,25.0
1.275,1.0,25.0
1.28,1.0,25.0
1.285,1.0,25.0
1.29,1.0,25.0
1.295,1.0,25.0
1.3,1.0,25.0
1.305,1.0,25.0
1.31,1.0,25.0
1.315,1.0,25.0
1.32,1.0,25.0
1.325,1.0,25.0
1.33,1.0,25.0
1.335,1.0,25.0
1.34,1.0,25.0
1.345,1.0,25.0
1.35,1.0,25.0
1.355,1.0,25.0
1.36,1.0,25.0
1.365,1.0,25.0
1.37,1.0,25.0
1.375,1.0,25.0
1.38,1.0,25.0
1.385,1.0,25.0
1.39,1.0,25.0
1.395,1.0,25.0
1.4,1.0,25.0
1.405,1.0,25.0
1.41,1.0,25.0
1.415,1.0,25.0
1.42,1.0,25.0
1.425,1.0,25.0
1.43,1.0,25.0
1.435,1.0,25.0
1.44,1.0,25.0
1.445,1.0,25.0
1.45,1.0,25.0
1.455,1.0,25.0
1.46,1.0,25.0
1.465,1.0,25.0
1.47,1.0,25.0
1.475,1.0,25.0
1.48,1.0,25.0
1.485,1.0,25.0
1.49,1.0,25.0
1.495,1.0,25.0
1.5,3.2,40.0
1.505,3.2,40.0
1.51,3.2,40.0
1.515,3.2,40.0
1.52,3.2,40.0
1.525,3.2,40.0
1.53,3.2,40.0
1.535,3.2,40.0
1.54,3.2,40.0
1.545,3.2,40.0
1.55,3.2,40.0
1.555,3.2,40.0
1.56,3.2,40.0
1.565,3.2,40.0
1.57,3.2,40.0
1.575,3.2,40.0
1.58,3.2,40.0
1.585,3.2,40.0
1.59,3.2,40.0
1.595,3.2,40.0
1.6,3.2,40.0
1.605,3.2,40.0
1.61,3.2,40.0
1.615,3.2,40.0
1.62,3.2,40.0
1.625,3.2,40.0
1.63,3.2,40.0
1.635,3.2,40.0
1.64,3.2,40.0
1.645,3.2,40.0
1.65,3.2,40.0
1.655,3.2,40.0
1.66,3.2,40.0
1.665,3.2,40.0
1.67,3.2,40.0
1.675,3.2,40.0
1.68,3.2,40.0
1.685,3.2,40.0
1.69,3.2,40.0
1.695,3.2,40.0
1.7,3.2,40.0
1.705,3.2,40.0
1.71,3.2,40.0
1.715,3.2,40.0
1.72,3.2,40.0
1.725,3.2,40.0
1.73,3.2,40.0
1.735,3.2,40.0
1.74,3.2,40.0
1.745,3.2,40.0
1.75,3.2,40.0
1.755,3.2,40.0
1.76,3.2,40.0
1.765,3.2,40.0
1.77,3.2,40.0
1.775,3.2,40.0
1.78,3.2,40.0
1.785,3.2,40.0
1.79,3.2,40.0
1.795,3.2,40.0
1.8,0.1,40.0
1.805,0.1,40.0
1.81,0.1,40.0
1.815,0.1,40.0
1.82,0.1,40.0
1.825,0.1,40.0
1.83,0.1,40.0
1.835,0.1,40.0
1.84,0.1,40.0
1.845,0.1,40.0
1.85,0.1,40.0
1.855,0.1,40.0
1.86,0.1,40.0
1.865,0.1,40.0
1.87,0.1,40.0
1.875,0.1,40.0
1.88,0.1,40.0
1.885,0.1,40.0
1.89,0.1,40.0
1.895,0.1,40.0
1.9,0.1,40.0
1.905,0.1,40.0
1.91,0.1,40.0
1.915,0.1,40.0
1.92,0.1,40.0
1.925,0.1,40.0
1.93,0.1,40.0
1.935,0.1,40.0
1.94,0.1,40.0
1.945,0.1,40.0
1.95,0.1,40.0
1.955,0.1,40.0
1.96,0.1,40.0
1.965,0.1,40.0
1.97,0.1,40.0
1.975,0.1,40.0
1.98,0.1,40.0
1.985,0.1,40.0
1.99,0.1,40.0
1.995,0.1,40.0
2.0,0.1,40.0
2.005,0.1,40.0
2.01,0.1,40.0
2.015,0.1,40.0
2.02,0.1,40.0
2.025,0.1,40.0
2.03,0.1,40.0
2.035,0.1,40.0
2.04,0.1,40.0
2.045,0.1,40.0
2.05,0.1,40.0
2.055,0.1,40.0
2.06,0.1,40.0
2.065,0.1,40.0
2.07,0.1,40.0
2.075,0.1,40.0
2.08,0.1,40.0
2.085,0.1,40.0
2.09,0.1,40.0
2.095,0.1,40.0
2.1,0.1,40.0
2.105,0.1,40.0
2.11,0.1,40.0
2.115,0.1,40.0
2.12,0.1,40.0
2.125,0.1,40.0
2.13,0.1,40.0
2.135,0.1,40.0
2.14,0.1,40.0
2.145,0.1,40.0
2.15,0.1,40.0
2.155,0.1,40.0
2.16,0.1,40.0
2.165,0.1,40.0
2.17,0.1,40.0
2.175,0.1,40.0
2.18,0.1,40.0
2.185,0.1,40.0
2.19,0.1,40.0
2.195,0.1,40.0
2.2,0.1,40.0
2.205,0.1,40.0
2.21,0.1,40.0
2.215,0.1,40.0
2.22,0.1,40.0
2.225,0.1,40.0
2.23,0.1,40.0
2.235,0.1,40.0
2.24,0.1,40.0
2.245,0.1,40.0
2.25,0.1,40.0
2.255,0.1,40.0
2.26,0.1,40.0
2.265,0.1,40.0
2.27,0.1,40.0
2.275,0.1,40.0
2.28,0.1,40.0
2.285,0.1,40.0
2.29,0.1,40.0
2.295,0.1,40.0
2.3,0.1,40.0
2.305,0.1,40.0
2.31,0.1,40.0
2.315,0.1,40.0
2.32,0.1,40.0
2.325,0.1,40.0
2.33,0.1,40.0
2.335,0.1,40.0
2.34,0.1,40.0
2.345,0.1,40.0
2.35,0.1,40.0
2.355,0.1,40.0
2.36,0.1,40.0
2.365,0.1,40.0
2.37,0.1,40.0
2.375,0.1,40.0
2.38,0.1,40.0
2.385,0.1,40.0
2.39,0.1,40.0
2.395,0.1,40.0
2.4,4.5,40.0
2.405,4.5,40.0
2.41,4.5,40.0
2.415,4.5,40.0
2.42,4.5,40.0
2.425,4.5,40.0
2.43,4.5,40.0
2.435,4.5,40.0
2.44,4.5,40.0
2.445,4.5,40.0
2.45,1.0,30.0
2.455,1.0,30.0
2.46,1.0,30.0
2.465,1.0,30.0
2.47,1.0,30.0
2.475,1.0,30.0
2.48,1.0,30.0
2.485,1.0,30.0
2.49,1.0,30.0
2.495,1.0,30.0
2.5,1.0,30.0
2.505,1.0,30.0
2.51,1.0,30.0
2.515,1.0,30.0
2.52,1.0,30.0
2.525,1.0,30.0
2.53,1.0,30.0
2.535,1.0,30.0
2.54,1.0,30.0
2.545,1.0,30.0
2.55,1.0,30.0
2.555,1.0,30.0
2.56,1.0,30.0
2.565,1.0,30.0
2.57,1.0,30.0
2.575,1.0,30.0
2.58,1.0,30.0
2.585,1.0,30.0
2.59,1.0,30.0
2.595,1.0,30.0
2.6,1.0,30.0
2.605,1.0,30.0
2.61,1.0,30.0
2.615,1.0,30.0
2.62,1.0,30.0
2.625,1.0,30.0
2.63,1.0,30.0
2.635,1.0,30.0
2.64,1.0,30.0
2.645,1.0,30.0
2.65,1.0,30.0
2.655,1.0,30.0
2.66,1.0,30.0
2.665,1.0,30.0
2.67,1.0,30.0
2.675,1.0,30.0
2.68,1.0,30.0
2.685,1.0,30.0
2.69,1.0,30.0
2.695,1.0,30.0
2.7,1.0,30.0
2.705,1.0,30.0
2.71,1.0,30.0
2.715,1.0,30.0
2.72,1.0,30.0
2.725,1.0,30.0
2.73,1.0,30.0
2.735,1.0,30.0
2.74,1.0,30.0
2.745,1.0,30.0
2.75,1.0,30.0
2.755,1.0,30.0
2.76,1.0,30.0
2.765,1.0,30.0
2.77,1.0,30.0
2.775,1.0,30.0
2.78,1.0,30.0
2.785,1.0,30.0
2.79,1.0,30.0
2.795,1.0,30.0
2.8,1.0,30.0
2.805,1.0,30.0
2.81,1.0,30.0
2.815,1.0,30.0
2.82,1.0,30.0
2.825,1.0,30.0
2.83,1.0,30.0
2.835,1.0,30.0
2.84,1.0,30.0
2.845,1.0,30.0
2.85,1.0,30.0
2.855,1.0,30.0
2.86,1.0,30.0
2.865,1.0,30.0
2.87,1.0,30.0
2.875,1.0,30.0
2.88,1.0,30.0
2.885,1.0,30.0
2.89,1.0,30.0
2.895,1.0,30.0
2.9,1.0,30.0
2.905,1.0,30.0
2.91,1.0,30.0
2.915,1.0,30.0
2.92,1.0,30.0
2.925,1.0,30.0
2.93,1.0,30.0
2.935,1.0,30.0
2.94,1.0,30.0
2.945,1.0,30.0
2.95,1.0,30.0
2.955,1.0,30.0
2.96,1.0,30.0
2.965,1.0,30.0
2.97,1.0,30.0
2.975,1.0,30.0
2.98,1.0,30.0
2.985,1.0,30.0
2.99,1.0,30.0
2.995,1.0,30.0
3.0,1.0,30.0
3.005,1.0,30.0
3.01,1.0,30.0
3.015,1.0,30.0
3.02,1.0,30.0
3.025,1.0,30.0
3.03,1.0,30.0
3.035,1.0,30.0
3.04,1.0,30.0
3.045,1.0,30.0
3.05,1.0,30.0
3.055,1.0,30.0
3.06,1.0,30.0
3.065,1.0,30.0
3.07,1.0,30.0
3.075,1.0,30.0
3.08,1.0,30.0
3.085,1.0,30.0
3.09,1.0,30.0
3.095,1.0,30.0
3.1,1.0,30.0
3.105,1.0,30.0
3.11,1.0,30.0
3.115,1.0,30.0
3.12,1.0,30.0
3.125,1.0,30.0
3.13,1.0,30.0
3.135,1.0,30.0
3.14,1.0,30.0
3.145,1.0,30.0
3.15,1.0,30.0
3.155,1.0,30.0
3.16,1.0,30.0
3.165,1.0,30.0
3.17,1.0,30.0
3.175,1.0,30.0
3.18,1.0,30.0
3.185,1.0,30.0
3.19,1.0,30.0
3.195,1.0,30.0
3.2,1.0,30.0
3.205,1.0,30.0
3.21,1.0,30.0
3.215,1.0,30.0
3.22,1.0,30.0
3.225,1.0,30.0
3.23,1.0,30.0
3.235,1.0,30.0
3.24,1.0,30.0
3.245,1.0,30.0
3.25,1.0,30.0
3.255,1.0,30.0
3.26,1.0,30.0
3.265,1.0,30.0
3.27,1.0,30.0
3.275,1.0,30.0
3.28,1.0,30.0
3.285,1.0,30.0
3.29,1.0,30.0
3.295,1.0,30.0
3.3,1.0,30.0
3.305,1.0,30.0
3.31,1.0,30.0
3.315,1.0,30.0
3.32,1.0,30.0
3.325,1.0,30.0
3.33,1.0,30.0
3.335,1.0,30.0
3.34,1.0,30.0
3.345,1.0,30.0
3.35,1.0,30.0
3.355,1.0,30.0
3.36,1.0,30.0
3.365,1.0,30.0
3.37,1.0,30.0
3.375,1.0,30.0
3.38,1.0,30.0
3.385,1.0,30.0
3.39,1.0,30.0
3.395,1.0,30.0
3.4,1.0,30.0
3.405,1.0,30.0
3.41,1.0,30.0
3.415,1.0,30.0
3.42,1.0,30.0
3.425,1.0,30.0
3.43,1.0,30.0
3.435,1.0,30.0
3.44,1.0,30.0
3.445,1.0,30.0
3.45,1.0,1500.0
3.455,1.0,1500.0
3.46,1.0,1500.0
3.465,1.0,1500.0
3.47,1.0,1500.0
3.475,1.0,1500.0
3.48,1.0,1500.0
3.485,1.0,1500.0
3.49,1.0,1500.0
3.495,1.0,1500.0
3.5,1.0,1500.0
3.505,1.0,1500.0
3.51,1.0,1500.0
3.515,1.0,1500.0
3.52,1.0,1500.0
3.525,1.0,1500.0
3.53,1.0,1500.0
3.535,1.0,1500.0
3.54,1.0,1500.0
3.545,1.0,1500.0
3.55,1.0,1500.0
3.555,1.0,1500.0
3.56,1.0,1500.0
3.565,1.0,1500.0
3.57,1.0,1500.0
3.575,1.0,1500.0
3.58,1.0,1500.0
3.585,1.0,1500.0
3.59,1.0,1500.0
3.595,1.0,1500.0
3.6,1.0,1500.0
3.605,1.0,1500.0
3.61,1.0,1500.0
3.615,1.0,1500.0
3.62,1.0,1500.0
3.625,1.0,1500.0
3.63,1.0,1500.0
3.635,1.0,1500.0
3.64,1.0,1500.0
3.645,1.0,1500.0
3.65,1.0,1500.0
3.655,1.0,1500.0
3.66,1.0,1500.0
3.665,1.0,1500.0
3.67,1.0,1500.0
3.675,1.0,1500.0
3.68,1.0,1500.0
3.685,1.0,1500.0
3.69,1.0,1500.0
3.695,1.0,1500.0
3.7,1.0,1500.0
3.705,1.0,1500.0
3.71,1.0,1500.0
3.715,1.0,1500.0
3.72,1.0,1500.0
3.725,1.0,1500.0
3.73,1.0,1500.0
3.735,1.0,1500.0
3.74,1.0,1500.0
3.745,1.0,1500.0
3.75,1.0,1500.0
3.755,1.0,1500.0
3.76,1.0,1500.0
3.765,1.0,1500.0
3.77,1.0,1500.0
3.775,1.0,1500.0
3.78,1.0,1500.0
3.785,1.0,1500.0
3.79,1.0,1500.0
3.795,1.0,1500.0
3.8,1.0,1500.0
3.805,1.0,1500.0
3.81,1.0,1500.0
3.815,1.0,1500.0
3.82,1.0,1500.0
3.825,1.0,1500.0
3.83,1.0,1500.0
3.835,1.0,1500.0
3.84,1.0,1500.0
3.845,1.0,1500.0
3.85,1.0,1500.0
3.855,1.0,1500.0
3.86,1.0,1500.0
3.865,1.0,1500.0
3.87,1.0,1500.0
3.875,1.0,1500.0
3.88,1.0,1500.0
3.885,1.0,1500.0
3.89,1.0,1500.0
3.895,1.0,1500.0
3.9,1.0,1500.0
3.905,1.0,1500.0
3.91,1.0,1500.0
3.915,1.0,1500.0
3.92,1.0,1500.0
3.925,1.0,1500.0
3.93,1.0,1500.0
3.935,1.0,1500.0
3.94,1.0,1500.0
3.945,1.0,1500.0
3.95,1.0,1500.0
3.955,1.0,1500.0
3.96,1.0,1500.0
3.965,1.0,1500.0
3.97,1.0,1500.0
3.975,1.0,1500.0
3.98,1.0,1500.0
3.985,1.0,1500.0
3.99,1.0,1500.0
3.995,1.0,1500.0
4.0,1.0,1500.0
4.005,1.0,1500.0
4.01,1.0,1500.0
4.015,1.0,1500.0
4.02,1.0,1500.0
4.025,1.0,1500.0
4.03,1.0,1500.0
4.035,1.0,1500.0
4.04,1.0,1500.0
4.045,1.0,1500.0
4.05,1.0,1500.0
4.055,1.0,1500.0
4.06,1.0,1500.0
4.065,1.0,1500.0
4.07,1.0,1500.0
4.075,1.0,1500.0
4.08,1.0,1500.0
4.085,1.0,1500.0
4.09,1.0,1500.0
4.095,1.0,1500.0
4.1,1.0,1500.0
4.105,1.0,1500.0
4.11,1.0,1500.0
4.115,1.0,1500.0
4.12,1.0,1500.0
4.125,1.0,1500.0
4.13,1.0,1500.0
4.135,1.0,1500.0
4.14,1.0,1500.0
4.145,1.0,1500.0
4.15,1.0,1500.0
4.155,1.0,1500.0
4.16,1.0,1500.0
4.165,1.0,1500.0
4.17,1.0,1500.0
4.175,1.0,1500.0
4.18,1.0,1500.0
4.185,1.0,1500.0
4.19,1.0,1500.0
4.195,1.0,1500.0
4.2,1.0,1500.0
4.205,1.0,1500.0
4.21,1.0,1500.0
4.215,1.0,1500.0
4.22,1.0,1500.0
4.225,1.0,1500.0
4.23,1.0,1500.0
4.235,1.0,1500.0
4.24,1.0,1500.0
4.245,1.0,1500.0
4.25,4.5,90.0
4.255,4.5,90.0
4.26,4.5,90.0
4.265,4.5,90.0
4.27,4.5,90.0
4.275,4.5,90.0
4.28,4.5,90.0
4.285,4.5,90.0
4.29,4.5,90.0
4.295,4.5,90.0
4.3,1.0,25.0
4.305,1.0,25.0
4.31,1.0,25.0
4.315,1.0,25.0
4.32,1.0,25.0
4.325,1.0,25.0
4.33,1.0,25.0
4.335,1.0,25.0
4.34,1.0,25.0
4.345,1.0,25.0
4.35,1.0,25.0
4.355,1.0,25.0
4.36,1.0,25.0
4.365,1.0,25.0
4.37,1.0,25.0
4.375,1.0,25.0
4.38,1.0,25.0
4.385,1.0,25.0
4.39,1.0,25.0
4.395,1.0,25.0
4.4,1.0,25.0
4.405,1.0,25.0
4.41,1.0,25.0
4.415,1.0,25.0
4.42,1.0,25.0
4.425,1.0,25.0
4.43,1.0,25.0
4.435,1.0,25.0
4.44,1.0,25.0
4.445,1.0,25.0
4.45,1.0,25.0
4.455,1.0,25.0
4.46,1.0,25.0
4.465,1.0,25.0
4.47,1.0,25.0
4.475,1.0,25.0
4.48,1.0,25.0
4.485,1.0,25.0
4.49,1.0,25.0
4.495,1.0,25.0
4.5,1.0,25.0
4.505,1.0,25.0
4.51,1.0,25.0
4.515,1.0,25.0
4.52,1.0,25.0
4.525,1.0,25.0
4.53,1.0,25.0
4.535,1.0,25.0
4.54,1.0,25.0
4.545,1.0,25.0
4.55,1.0,25.0
4.555,1.0,25.0
4.56,1.0,25.0
4.565,1.0,25.0
4.57,1.0,25.0
4.575,1.0,25.0
4.58,1.0,25.0
4.585,1.0,25.0
4.59,1.0,25.0
4.595,1.0,25.0
4.6,1.0,25.0
4.605,1.0,25.0
4.61,1.0,25.0
4.615,1.0,25.0
4.62,1.0,25.0
4.625,1.0,25.0
4.63,1.0,25.0
4.635,1.0,25.0
4.64,1.0,25.0
4.645,1.0,25.0
4.65,1.0,25.0
4.655,1.0,25.0
4.66,1.0,25.0
4.665,1.0,25.0
4.67,1.0,25.0
4.675,1.0,25.0
4.68,1.0,25.0
4.685,1.0,25.0
4.69,1.0,25.0
4.695,1.0,25.0
4.7,1.0,25.0
4.705,1.0,25.0
4.71,1.0,25.0
4.715,1.0,25.0
4.72,1.0,25.0
4.725,1.0,25.0
4.73,1.0,25.0
4.735,1.0,25.0
4.74,1.0,25.0
4.745,1.0,25.0
4.75,1.0,25.0
4.755,1.0,25.0
4.76,1.0,25.0
4.765,1.0,25.0
4.77,1.0,25.0
4.775,1.0,25.0
4.78,1.0,25.0
4.785,1.0,25.0
4.79,1.0,25.0
4.795,1.0,25.0
4.8,1.0,25.0
4.805,1.0,25.0
4.81,1.0,25.0
4.815,1.0,25.0
4.82,1.0,25.0
4.825,1.0,25.0
4.83,1.0,25.0
4.835,1.0,25.0
4.84,1.0,25.0
4.845,1.0,25.0
4.85,1.0,25.0
4.855,1.0,25.0
4.86,1.0,25.0
4.865,1.0,25.0
4.87,1.0,25.0
4.875,1.0,25.0
4.88,1.0,25.0
4.885,1.0,25.0
4.89,1.0,25.0
4.895,1.0,25.0
4.9,1.0,25.0
4.905,1.0,25.0
4.91,1.0,25.0
4.915,1.0,25.0
4.92,1.0,25.0
4.925,1.0,25.0
4.93,1.0,25.0
4.935,1.0,25.0
4.94,1.0,25.0
4.945,1.0,25.0
4.95,1.0,25.0
4.955,1.0,25.0
4.96,1.0,25.0
4.965,1.0,25.0
4.97,1.0,25.0
4.975,1.0,25.0
4.98,1.0,25.0
4.985,1.0,25.0
4.99,1.0,25.0
4.995,1.0,25.0
5.0,1.0,25.0
5.005,1.0,25.0
5.01,1.0,25.0
5.015,1.0,25.0
5.02,1.0,25.0
5.025,1.0,25.0
5.03,1.0,25.0
5.035,1.0,25.0
5.04,1.0,25.0
5.045,1.0,25.0
5.05,1.0,25.0
5.055,1.0,25.0
5.06,1.0,25.0
5.065,1.0,25.0
5.07,1.0,25.0
5.075,1.0,25.0
5.08,1.0,25.0
5.085,1.0,25.0
5.09,1.0,25.0
5.095,1.0,25.0
5.1,1.0,25.0
5.105,1.0,25.0
5.11,1.0,25.0
5.115,1.0,25.0
5.12,1.0,25.0
5.125,1.0,25.0
5.13,1.0,25.0
5.135,1.0,25.0
5.14,1.0,25.0
5.145,1.0,25.0
5.15,1.0,25.0
5.155,1.0,25.0
5.16,1.0,25.0
5.165,1.0,25.0
5.17,1.0,25.0
5.175,1.0,25.0
5.18,1.0,25.0
5.185,1.0,25.0
5.19,1.0,25.0
5.195,1.0,25.0
5.2,1.0,25.0
5.205,1.0,25.0
5.21,1.0,25.0
5.215,1.0,25.0
5.22,1.0,25.0
5.225,1.0,25.0
5.23,1.0,25.0
5.235,1.0,25.0
5.24,1.0,25.0
5.245,1.0,25.0
5.25,1.0,25.0
5.255,1.0,25.0
5.26,1.0,25.0
5.265,1.0,25.0
5.27,1.0,25.0
5.275,1.0,25.0
5.28,1.0,25.0
5.285,1.0,25.0
5.29,1.0,25.0
5.295,1.0,25.0
5.3,1.0,25.0
5.305,1.0,25.0
5.31,1.0,25.0
5.315,1.0,25.0
5.32,1.0,25.0
5.325,1.0,25.0
5.33,1.0,25.0
5.335,1.0,25.0
5.34,1.0,25.0
5.345,1.0,25.0
5.35,1.0,25.0
5.355,1.0,25.0
5.36,1.0,25.0
5.365,1.0,25.0
5.37,1.0,25.0
5.375,1.0,25.0
5.38,1.0,25.0
5.385,1.0,25.0
5.39,1.0,25.0
5.395,1.0,25.0
5.4,1.0,25.0
5.405,1.0,25.0
5.41,1.0,25.0
5.415,1.0,25.0
5.42,1.0,25.0
5.425,1.0,25.0
5.43,1.0,25.0
5.435,1.0,25.0
5.44,1.0,25.0
5.445,1.0,25.0
5.45,1.0,25.0
5.455,1.0,25.0
5.46,1.0,25.0
5.465,1.0,25.0
5.47,1.0,25.0
5.475,1.0,25.0
5.48,1.0,25.0
5.485,1.0,25.0
5.49,1.0,25.0
5.495,1.0,25.0
5.5,1.0,25.0
5.505,1.0,25.0
5.51,1.0,25.0
5.515,1.0,25.0
5.52,1.0,25.0
5.525,1.0,25.0
5.53,1.0,25.0
5.535,1.0,25.0
5.54,1.0,25.0
5.545,1.0,25.0
5.55,1.0,25.0
5.555,1.0,25.0
5.56,1.0,25.0
5.565,1.0,25.0
5.57,1.0,25.0
5.575,1.0,25.0
5.58,1.0,25.0
5.585,1.0,25.0
5.59,1.0,25.0
5.595,1.0,25.0
5.6,1.0,25.0
5.605,1.0,25.0
5.61,1.0,25.0
5.615,1.0,25.0
5.62,1.0,25.0
5.625,1.0,25.0
5.63,1.0,25.0
5.635,1.0,25.0
5.64,1.0,25.0
5.645,1.0,25.0
5.65,1.0,25.0
5.655,1.0,25.0
5.66,1.0,25.0
5.665,1.0,25.0
5.67,1.0,25.0
5.675,1.0,25.0
5.68,1.0,25.0
5.685,1.0,25.0
5.69,1.0,25.0
5.695,1.0,25.0
5.7,1.0,25.0
5.705,1.0,25.0
5.71,1.0,25.0
5.715,1.0,25.0
5.72,1.0,25.0
5.725,1.0,25.0
5.73,1.0,25.0
5.735,1.0,25.0
5.74,1.0,25.0
5.745,1.0,25.0
5.75,1.0,25.0
