t_s,ax,ay,az
0.9350,0.0000,0.0000,0.8071
0.9400,0.0000,0.0000,0.7798
0.9450,0.0000,0.0000,1.1667
0.9500,0.0000,0.0000,1.1251
0.9550,0.0000,0.0000,1.0112
0.9600,0.0000,0.0000,1.0422
0.9650,0.0000,0.0000,0.8201
0.9700,0.0000,0.0000,0.9729
0.9750,0.0000,0.0000,0.9242
0.9800,0.0000,0.0000,1.0215
0.9850,0.0000,0.0000,1.1543
0.9900,0.0000,0.0000,1.0542
0.9950,0.0000,0.0000,1.0923
1.0000,0.0000,0.0000,0.9638
1.0050,0.0000,0.0000,0.9952
1.0100,0.0000,0.0000,1.0607
1.0150,0.0000,0.0000,1.0132
1.0200,0.0000,0.0000,1.1987
1.0250,0.0000,0.0000,0.9417
1.0300,0.0000,0.0000,1.2735
1.0350,0.0000,0.0000,0.9287
1.0400,0.0000,0.0000,1.1734
1.0450,0.0000,0.0000,0.9533
1.0500,0.0000,0.0000,1.2437
1.0550,0.0000,0.0000,1.0621
1.0600,0.0000,0.0000,1.0933
1.0650,0.0000,0.0000,1.1347
1.0700,0.0000,0.0000,0.9689
1.0750,0.0000,0.0000,0.9199
1.0800,0.0000,0.0000,0.8015
1.0850,0.0000,0.0000,1.1909
1.0900,0.0000,0.0000,0.9607
1.0950,0.0000,0.0000,0.9730
1.1000,0.0000,0.0000,1.0401
1.1050,0.0000,0.0000,1.2822
1.1100,0.0000,0.0000,0.8359
1.1150,0.0000,0.0000,1.0730
1.1200,0.0000,0.0000,0.9954
1.1250,0.0000,0.0000,1.1065
1.1300,0.0000,0.0000,0.8265
1.1350,0.0000,0.0000,0.9944
1.1400,0.0000,0.0000,1.1427
1.1450,0.0000,0.0000,1.2287
1.1500,0.0000,0.0000,1.2330
1.1550,0.0000,0.0000,0.9385
1.1600,0.0000,0.0000,1.0474
1.1650,0.0000,0.0000,1.0274
1.1700,0.0000,0.0000,0.8751
1.1750,0.0000,0.0000,0.8671
1.1800,0.0000,0.0000,1.1305
1.1850,0.0000,0.0000,1.0689
1.1900,0.0000,0.0000,1.0220
1.1950,0.0000,0.0000,1.1847
1.2000,0.0000,0.0000,0.9183
1.2050,0.0000,0.0000,1.1014
1.2100,0.0000,0.0000,1.0391
1.2150,0.0000,0.0000,1.0305
1.2200,0.0000,0.0000,1.0961
1.2250,0.0000,0.0000,1.0581
1.2300,0.0000,0.0000,1.0687
1.2350,0.0000,0.0000,1.0682
1.2400,0.0000,0.0000,1.2686
1.2450,0.0000,0.0000,0.9984
1.2500,0.0000,0.0000,1.1568
1.2550,0.0000,0.0000,1.1080
1.2600,0.0000,0.0000,0.9927
1.2650,0.0000,0.0000,1.1298
1.2700,0.0000,0.0000,0.9311
1.2750,0.0000,0.0000,1.1729
1.2800,0.0000,0.0000,0.9362
1.2850,0.0000,0.0000,0.9742
1.2900,0.0000,0.0000,1.0714
1.2950,0.0000,0.0000,1.1321
1.3000,0.0000,0.0000,1.1408
1.3050,0.0000,0.0000,1.1387
1.3100,0.0000,0.0000,1.0063
1.3150,0.0000,0.0000,0.9160
1.3200,0.0000,0.0000,1.0964
1.3250,0.0000,0.0000,1.0662
1.3300,0.0000,0.0000,0.9153
1.3350,0.0000,0.0000,1.1461
1.3400,0.0000,0.0000,1.0528
1.3450,0.0000,0.0000,0.9136
1.3500,0.0000,0.0000,1.0811
1.3550,0.0000,0.0000,0.8687
1.3600,0.0000,0.0000,0.9220
1.3650,0.0000,0.0000,1.0752
1.3700,0.0000,0.0000,0.8396
1.3750,0.0000,0.0000,1.0306
1.3800,0.0000,0.0000,0.8636
1.3850,0.0000,0.0000,1.1138
1.3900,0.0000,0.0000,0.9376
1.3950,0.0000,0.0000,1.0464
1.4000,0.0000,0.0000,0.8438
1.4050,0.0000,0.0000,0.9824
1.4100,0.0000,0.0000,1.1369
1.4150,0.0000,0.0000,1.0777
1.4200,0.0000,0.0000,0.8018
1.4250,0.0000,0.0000,1.1329
1.4300,0.0000,0.0000,1.1286
1.4350,0.0000,0.0000,0.9760
1.4400,0.0000,0.0000,1.1908
1.4450,0.0000,0.0000,0.8932
1.4500,0.0000,0.0000,1.0096
1.4550,0.0000,0.0000,1.1531
1.4600,0.0000,0.0000,1.1762
1.4650,0.0000,0.0000,1.1722
1.4700,0.0000,0.0000,0.8868
1.4750,0.0000,0.0000,0.8040
1.4800,0.0000,0.0000,1.0642
1.4850,0.0000,0.0000,0.8450
1.4900,0.0000,0.0000,1.0006
1.4950,0.0000,0.0000,0.8621
1.5000,0.0000,0.0000,1.1428
1.5050,0.0000,0.0000,1.1114
1.5100,0.0000,0.0000,1.0813
1.5150,0.0000,0.0000,1.0162
1.5200,0.0000,0.0000,1.0191
1.5250,0.0000,0.0000,0.9775
1.5300,0.0000,0.0000,1.0587
1.5350,0.0000,0.0000,1.0422
1.5400,0.0000,0.0000,1.0669
1.5450,0.0000,0.0000,0.9599
1.5500,0.0000,0.0000,1.2387
1.5550,0.0000,0.0000,1.0443
1.5600,0.0000,0.0000,1.1773
1.5650,0.0000,0.0000,1.1692
1.5700,0.0000,0.0000,0.9036
1.5750,0.0000,0.0000,0.8062
1.5800,0.0000,0.0000,1.1590
1.5850,0.0000,0.0000,0.9612
1.5900,0.0000,0.0000,1.0170
1.5950,0.0000,0.0000,0.9756
1.6000,0.0000,0.0000,1.0220
1.6050,0.0000,0.0000,0.8631
1.6100,0.0000,0.0000,0.9929
1.6150,0.0000,0.0000,0.9492
1.6200,0.0000,0.0000,1.0026
1.6250,0.0000,0.0000,0.7237
1.6300,0.0000,0.0000,1.1020
1.6350,0.0000,0.0000,1.0428
1.6400,0.0000,0.0000,0.7953
1.6450,0.0000,0.0000,0.9139
1.6500,0.0000,0.0000,1.0053
1.6550,0.0000,0.0000,1.0766
1.6600,0.0000,0.0000,1.0007
1.6650,0.0000,0.0000,1.1662
1.6700,0.0000,0.0000,1.0024
1.6750,0.0000,0.0000,0.8792
1.6800,0.0000,0.0000,0.9176
1.6850,0.0000,0.0000,1.0875
1.6900,0.0000,0.0000,0.9242
1.6950,0.0000,0.0000,1.0982
1.7000,0.0000,0.0000,1.1193
1.7050,0.0000,0.0000,1.0670
1.7100,0.0000,0.0000,1.1180
1.7150,0.0000,0.0000,0.9746
1.7200,0.0000,0.0000,0.9938
1.7250,0.0000,0.0000,0.9235
1.7300,0.0000,0.0000,0.9208
1.7350,0.0000,0.0000,0.8058
1.7400,0.0000,0.0000,0.9265
1.7450,0.0000,0.0000,0.8641
1.7500,0.0000,0.0000,0.8209
1.7550,0.0000,0.0000,1.0093
1.7600,0.0000,0.0000,1.0458
1.7650,0.0000,0.0000,0.9498
1.7700,0.0000,0.0000,1.1545
1.7750,0.0000,0.0000,1.1028
1.7800,0.0000,0.0000,1.1148
1.7850,0.0000,0.0000,0.9165
1.7900,0.0000,0.0000,0.8094
1.7950,0.0000,0.0000,1.0550
1.8000,0.0000,0.0000,1.0246
1.8050,0.0000,0.0000,1.0742
1.8100,0.0000,0.0000,1.0367
1.8150,0.0000,0.0000,1.1374
1.8200,0.0000,0.0000,0.9512
1.8250,0.0000,0.0000,1.0654
1.8300,0.0000,0.0000,0.8774
1.8350,0.0000,0.0000,0.7073
1.8400,0.0000,0.0000,0.9306
1.8450,0.0000,0.0000,1.1634
1.8500,0.0000,0.0000,0.7819
1.8550,0.0000,0.0000,1.1047
1.8600,0.0000,0.0000,0.9006
1.8650,0.0000,0.0000,0.9338
1.8700,0.0000,0.0000,0.9865
1.8750,0.0000,0.0000,1.0063
1.8800,0.0000,0.0000,0.8635
1.8850,0.0000,0.0000,0.9951
1.8900,0.0000,0.0000,1.0328
1.8950,0.0000,0.0000,1.0793
1.9000,0.0000,0.0000,0.8882
1.9050,0.0000,0.0000,1.1645
1.9100,0.0000,0.0000,1.2067
1.9150,0.0000,0.0000,1.2672
1.9200,0.0000,0.0000,0.8161
1.9250,0.0000,0.0000,0.9974
1.9300,0.0000,0.0000,0.7531
1.9350,0.0000,0.0000,1.0212
1.9400,0.0000,0.0000,1.0420
1.9450,0.0000,0.0000,0.8370
1.9500,0.0000,0.0000,0.7842
1.9550,0.0000,0.0000,0.9966
1.9600,0.0000,0.0000,1.0491
1.9650,0.0000,0.0000,0.8782
1.9700,0.0000,0.0000,0.9416
1.9750,0.0000,0.0000,0.6694
1.9800,0.0000,0.0000,0.8873
1.9850,0.0000,0.0000,0.9894
1.9900,0.0000,0.0000,0.9896
1.9950,0.0000,0.0000,1.1610
2.0000,0.0000,0.0000,0.8337
2.0050,0.0000,0.0000,0.7000
2.0100,0.0000,0.0000,1.0241
2.0150,0.0000,0.0000,0.8985
2.0200,0.0000,0.0000,1.0035
2.0250,0.0000,0.0000,1.0550
2.0300,0.0000,0.0000,1.0404
2.0350,0.0000,0.0000,1.1410
2.0400,0.0000,0.0000,1.1300
2.0450,0.0000,0.0000,0.7675
2.0500,0.0000,0.0000,0.9594
2.0550,0.0000,0.0000,1.2067
2.0600,0.0000,0.0000,0.9174
2.0650,0.0000,0.0000,1.0819
2.0700,0.0000,0.0000,0.9588
2.0750,0.0000,0.0000,0.9148
2.0800,0.0000,0.0000,1.1548
2.0850,0.0000,0.0000,1.0895
2.0900,0.0000,0.0000,0.9350
2.0950,0.0000,0.0000,1.0727
2.1000,0.0000,0.0000,0.8059
2.1050,0.0000,0.0000,0.8762
2.1100,0.0000,0.0000,1.0712
2.1150,0.0000,0.0000,0.9673
2.1200,0.0000,0.0000,0.8348
2.1250,0.0000,0.0000,1.0160
2.1300,0.0000,0.0000,1.0012
2.1350,0.0000,0.0000,1.1156
2.1400,0.0000,0.0000,1.0759
2.1450,0.0000,0.0000,0.9277
2.1500,0.0000,0.0000,0.9024
2.1550,0.0000,0.0000,0.9436
2.1600,0.0000,0.0000,0.9324
2.1650,0.0000,0.0000,1.1351
2.1700,0.0000,0.0000,1.1500
2.1750,0.0000,0.0000,1.1219
2.1800,0.0000,0.0000,1.0043
2.1850,0.0000,0.0000,0.9292
2.1900,0.0000,0.0000,1.0667
2.1950,0.0000,0.0000,0.9161
2.2000,0.0000,0.0000,0.9861
2.2050,0.0000,0.0000,0.7576
2.2100,0.0000,0.0000,0.9065
2.2150,0.0000,0.0000,1.1299
2.2200,0.0000,0.0000,0.8336
2.2250,0.0000,0.0000,0.7775
2.2300,0.0000,0.0000,0.9367
2.2350,0.0000,0.0000,1.1562
2.2400,0.0000,0.0000,1.1300
2.2450,0.0000,0.0000,0.9125
2.2500,0.0000,0.0000,0.8981
2.2550,0.0000,0.0000,0.9420
2.2600,0.0000,0.0000,0.8433
2.2650,0.0000,0.0000,0.9591
2.2700,0.0000,0.0000,0.9186
2.2750,0.0000,0.0000,0.7773
2.2800,0.0000,0.0000,0.8847
2.2850,0.0000,0.0000,0.9232
2.2900,0.0000,0.0000,0.8506
2.2950,0.0000,0.0000,0.8194
2.3000,0.0000,0.0000,1.0621
2.3050,0.0000,0.0000,1.1808
2.3100,0.0000,0.0000,0.9187
2.3150,0.0000,0.0000,0.9020
2.3200,0.0000,0.0000,1.0131
2.3250,0.0000,0.0000,0.9252
2.3300,0.0000,0.0000,0.8586
2.3350,0.0000,0.0000,1.1194
2.3400,0.0000,0.0000,0.8273
2.3450,0.0000,0.0000,0.8644
2.3500,0.0000,0.0000,0.8723
2.3550,0.0000,0.0000,0.8457
2.3600,0.0000,0.0000,0.9231
2.3650,0.0000,0.0000,1.0207
2.3700,0.0000,0.0000,1.1244
2.3750,0.0000,0.0000,1.0309
2.3800,0.0000,0.0000,0.9555
2.3850,0.0000,0.0000,0.8010
2.3900,0.0000,0.0000,0.9437
2.3950,0.0000,0.0000,0.8380
2.4000,0.0000,0.0000,0.9392
2.4050,0.0000,0.0000,1.0682
2.4100,0.0000,0.0000,0.9752
2.4150,0.0000,0.0000,0.9254
2.4200,0.0000,0.0000,0.8602
2.4250,0.0000,0.0000,0.9478
2.4300,0.0000,0.0000,0.9637
2.4350,0.0000,0.0000,0.8390
2.4400,0.0000,0.0000,0.8897
2.4450,0.0000,0.0000,1.0561
2.4500,0.0000,0.0000,0.7509
2.4550,0.0000,0.0000,0.8970
2.4600,0.0000,0.0000,0.8101
2.4650,0.0000,0.0000,1.1357
2.4700,0.0000,0.0000,1.0227
2.4750,0.0000,0.0000,1.0118
2.4800,0.0000,0.0000,0.9976
2.4850,0.0000,0.0000,0.9844
2.4900,0.0000,0.0000,0.9850
2.4950,0.0000,0.0000,0.7598
2.5000,0.0000,0.0000,0.9809
2.5050,0.0000,0.0000,1.0213
2.5100,0.0000,0.0000,0.7786
2.5150,0.0000,0.0000,1.0490
2.5200,0.0000,0.0000,1.0301
2.5250,0.0000,0.0000,0.7674
2.5300,0.0000,0.0000,0.8935
2.5350,0.0000,0.0000,0.9132
2.5400,0.0000,0.0000,0.8869
2.5450,0.0000,0.0000,0.9971
2.5500,0.0000,0.0000,0.7970
2.5550,0.0000,0.0000,0.9234
2.5600,0.0000,0.0000,0.9773
2.5650,0.0000,0.0000,1.0373
2.5700,0.0000,0.0000,0.9563
2.5750,0.0000,0.0000,0.9214
2.5800,0.0000,0.0000,1.0334
2.5850,0.0000,0.0000,0.7119
2.5900,0.0000,0.0000,1.0627
2.5950,0.0000,0.0000,0.9139
2.6000,0.0000,0.0000,0.8008
2.6050,0.0000,0.0000,0.8995
2.6100,0.0000,0.0000,0.7310
2.6150,0.0000,0.0000,0.7058
2.6200,0.0000,0.0000,0.9120
2.6250,0.0000,0.0000,0.8581
2.6300,0.0000,0.0000,1.0395
2.6350,0.0000,0.0000,0.8452
2.6400,0.0000,0.0000,0.7963
2.6450,0.0000,0.0000,0.8369
2.6500,0.0000,0.0000,1.1578
2.6550,0.0000,0.0000,0.9552
2.6600,0.0000,0.0000,0.8789
2.6650,0.0000,0.0000,0.8336
2.6700,0.0000,0.0000,0.8207
2.6750,0.0000,0.0000,0.9330
2.6800,0.0000,0.0000,1.0041
2.6850,0.0000,0.0000,1.0912
2.6900,0.0000,0.0000,1.0907
2.6950,0.0000,0.0000,0.9860
2.7000,0.0000,0.0000,0.8744
2.7050,0.0000,0.0000,0.8504
2.7100,0.0000,0.0000,0.6763
2.7150,0.0000,0.0000,0.8318
2.7200,0.0000,0.0000,1.0047
2.7250,0.0000,0.0000,0.9138
2.7300,0.0000,0.0000,0.9987
2.7350,0.0000,0.0000,0.7931
2.7400,0.0000,0.0000,1.0627
2.7450,0.0000,0.0000,0.9907
2.7500,0.0000,0.0000,0.9605
2.7550,0.0000,0.0000,1.0037
2.7600,0.0000,0.0000,0.6875
2.7650,0.0000,0.0000,0.8892
2.7700,0.0000,0.0000,0.8487
2.7750,0.0000,0.0000,1.1740
2.7800,0.0000,0.0000,0.9348
2.7850,0.0000,0.0000,0.8964
2.7900,0.0000,0.0000,1.0596
2.7950,0.0000,0.0000,0.8311
2.8000,0.0000,0.0000,1.1285
2.8050,0.0000,0.0000,0.8737
2.8100,0.0000,0.0000,0.9512
2.8150,0.0000,0.0000,0.8487
2.8200,0.0000,0.0000,1.0558
2.8250,0.0000,0.0000,0.6985
2.8300,0.0000,0.0000,1.0423
2.8350,0.0000,0.0000,0.8613
2.8400,0.0000,0.0000,0.9659
2.8450,0.0000,0.0000,0.8221
2.8500,0.0000,0.0000,0.9879
2.8550,0.0000,0.0000,0.9832
2.8600,0.0000,0.0000,1.0319
2.8650,0.0000,0.0000,0.9991
2.8700,0.0000,0.0000,1.0365
2.8750,0.0000,0.0000,1.0812
2.8800,0.0000,0.0000,0.9156
2.8850,0.0000,0.0000,0.8211
2.8900,0.0000,0.0000,0.8096
2.8950,0.0000,0.0000,1.0449
2.9000,0.0000,0.0000,0.9184
2.9050,0.0000,0.0000,1.0901
2.9100,0.0000,0.0000,0.9696
2.9150,0.0000,0.0000,0.8431
2.9200,0.0000,0.0000,1.0735
2.9250,0.0000,0.0000,1.1983
2.9300,0.0000,0.0000,0.9438
2.9350,0.0000,0.0000,0.8532
2.9400,0.0000,0.0000,0.8647
2.9450,0.0000,0.0000,1.0734
2.9500,0.0000,0.0000,0.8967
2.9550,0.0000,0.0000,0.9186
2.9600,0.0000,0.0000,1.0498
2.9650,0.0000,0.0000,0.9694
2.9700,0.0000,0.0000,0.9822
2.9750,0.0000,0.0000,0.9034
2.9800,0.0000,0.0000,0.8925
2.9850,0.0000,0.0000,0.9892
2.9900,0.0000,0.0000,0.9884
2.9950,0.0000,0.0000,1.0413
3.0000,0.0000,0.0000,0.9107
3.0050,0.0000,0.0000,1.0124
3.0100,0.0000,0.0000,1.0285
3.0150,0.0000,0.0000,0.9817
3.0200,0.0000,0.0000,1.0406
3.0250,0.0000,0.0000,1.0939
3.0300,0.0000,0.0000,0.9967
3.0350,0.0000,0.0000,0.9827
3.0400,0.0000,0.0000,0.8574
3.0450,0.0000,0.0000,1.0135
3.0500,0.0000,0.0000,0.9633
3.0550,0.0000,0.0000,0.9377
3.0600,0.0000,0.0000,0.8763
3.0650,0.0000,0.0000,1.0446
3.0700,0.0000,0.0000,1.2833
3.0750,0.0000,0.0000,1.0285
3.0800,0.0000,0.0000,0.9874
3.0850,0.0000,0.0000,1.0298
3.0900,0.0000,0.0000,0.9068
3.0950,0.0000,0.0000,0.9897
3.1000,0.0000,0.0000,0.8992
3.1050,0.0000,0.0000,0.9022
3.1100,0.0000,0.0000,1.0075
3.1150,0.0000,0.0000,1.0075
3.1200,0.0000,0.0000,0.9670
3.1250,0.0000,0.0000,0.8856
3.1300,0.0000,0.0000,1.0129
3.1350,0.0000,0.0000,0.8512
3.1400,0.0000,0.0000,1.0748
3.1450,0.0000,0.0000,0.9411
3.1500,0.0000,0.0000,0.9831
3.1550,0.0000,0.0000,1.0778
3.1600,0.0000,0.0000,1.0508
3.1650,0.0000,0.0000,0.8291
3.1700,0.0000,0.0000,0.9550
3.1750,0.0000,0.0000,1.0294
3.1800,0.0000,0.0000,0.8552
3.1850,0.0000,0.0000,0.6977
3.1900,0.0000,0.0000,0.9781
3.1950,0.0000,0.0000,0.9815
3.2000,0.0000,0.0000,1.0389
3.2050,0.0000,0.0000,0.9979
3.2100,0.0000,0.0000,1.0042
3.2150,0.0000,0.0000,1.0177
3.2200,0.0000,0.0000,1.1544
3.2250,0.0000,0.0000,1.0480
3.2300,0.0000,0.0000,1.0554
3.2350,0.0000,0.0000,0.9437
3.2400,0.0000,0.0000,1.1260
3.2450,0.0000,0.0000,0.9694
3.2500,0.0000,0.0000,1.0807
3.2550,0.0000,0.0000,0.7397
3.2600,0.0000,0.0000,1.0226
3.2650,0.0000,0.0000,0.9819
3.2700,0.0000,0.0000,0.9388
3.2750,0.0000,0.0000,1.1489
3.2800,0.0000,0.0000,1.0435
3.2850,0.0000,0.0000,0.9785
3.2900,0.0000,0.0000,0.9329
3.2950,0.0000,0.0000,1.2214
3.3000,0.0000,0.0000,1.0865
3.3050,0.0000,0.0000,1.0760
3.3100,0.0000,0.0000,0.9064
3.3150,0.0000,0.0000,1.1547
3.3200,0.0000,0.0000,1.0657
3.3250,0.0000,0.0000,0.9669
3.3300,0.0000,0.0000,0.9872
3.3350,0.0000,0.0000,0.8053
3.3400,0.0000,0.0000,1.0787
3.3450,0.0000,0.0000,0.8703
3.3500,0.0000,0.0000,1.1026
3.3550,0.0000,0.0000,0.9494
3.3600,0.0000,0.0000,0.9280
3.3650,0.0000,0.0000,1.0472
3.3700,0.0000,0.0000,1.0287
3.3750,0.0000,0.0000,0.8689
3.3800,0.0000,0.0000,0.9955
3.3850,0.0000,0.0000,1.0775
3.3900,0.0000,0.0000,0.9753
3.3950,0.0000,0.0000,0.8449
3.4000,0.0000,0.0000,0.9772
3.4050,0.0000,0.0000,0.8917
3.4100,0.0000,0.0000,0.9381
3.4150,0.0000,0.0000,1.0133
3.4200,0.0000,0.0000,1.0018
3.4250,0.0000,0.0000,0.9835
3.4300,0.0000,0.0000,0.8111
3.4350,0.0000,0.0000,1.0513
3.4400,0.0000,0.0000,0.9861
3.4450,0.0000,0.0000,0.9618
3.4500,0.0000,0.0000,1.0295
3.4550,0.0000,0.0000,1.2418
3.4600,0.0000,0.0000,0.8576
3.4650,0.0000,0.0000,0.8201
3.4700,0.0000,0.0000,1.1039
3.4750,0.0000,0.0000,0.9188
3.4800,0.0000,0.0000,1.1691
3.4850,0.0000,0.0000,0.8964
